id,project_code,name,project_type,clients,cpi,other_cost,operation_select,finance_select,upload_document,tentative_start_date,tentative_end_date,estimated_time,status,remark,created_by,assigned_to,created_at,is_active
3253,063rep093,Electrical Technicians Study (REP-012524290),CATI,Rep Data,48,,1,0,,2025-01-22 05:30:00,2025-02-06 05:30:00,"15 days, 0:00:00",In Progress,,Saransh Sharma,Jagdeep Yadav,2025-01-23 19:39:16,1
3252,105ron108,HEALTHCARE PROFESSIONALS STUDY,CATI,Ronin International,0,,1,0,,2025-01-22 05:30:00,2025-02-06 05:30:00,"15 days, 0:00:00",Project Initiated,,Gaurav Prashant Saxena,Shivani Hanjura,2025-01-23 17:35:59,1
3251,004rot031,Potential new project - Digital Ad Buyers Wave 5,CATI,Roth MKM,41,,1,0,,2025-01-23 05:30:00,2025-02-07 05:30:00,"15 days, 0:00:00",In Progress,,Saransh Sharma,Saurabh Malik,2025-01-23 04:26:19,1
3250,001glg779,Commercial Loan Servicing,CATI,GLG,50,,1,0,,2025-01-23 05:30:00,2025-02-06 05:30:00,"14 days, 0:00:00",In Progress,,Saransh Sharma,Navneet Tiwari,2025-01-23 04:25:34,1
3249,001glg778,Network Survey - Biofuels V,CATI,GLG,50,,1,0,,2025-01-22 05:30:00,2025-02-06 05:30:00,"15 days, 0:00:00",To Be Started,,Saransh Sharma,Navneet Tiwari,2025-01-23 04:24:43,1
3248,004rot030,New H/C study: request for estimate....QSG: Pulmon,CATI,Roth MKM,78,,1,0,,2025-01-21 05:30:00,2025-02-03 05:30:00,"13 days, 0:00:00",Project Initiated,,Saransh Sharma,Dipika Maheshwari,2025-01-23 04:19:01,1
3247,093app097,New B2B HR coaching,CATI,Appinio,33,,1,0,,2025-01-15 05:30:00,2025-01-29 05:30:00,"14 days, 0:00:00",Completed,,Gaurav Prashant Saxena,Pankaj Nandolia,2025-01-22 19:46:12,1
3246,006oxf070,IBM Global Pulse Wave 8 CFOs Use of AI 2024 Survey,CATI,Oxford Economics,37,,1,0,,2025-01-06 05:30:00,2025-02-03 05:30:00,"28 days, 0:00:00",Completed,,Gaurav Prashant Saxena,Ankit Narang,2025-01-22 19:22:50,1
3245,006oxf069,IBV Grid Modernization Survey,CATI,Oxford Economics,46,,1,0,,2025-01-01 05:30:00,2025-02-12 05:30:00,"42 days, 0:00:00",In Progress,,Gaurav Prashant Saxena,Ankit Narang,2025-01-22 19:20:08,1
3244,006oxf068,IBM 2025 Talent and Skills Survey,CATI,Oxford Economics,46,,1,0,,2025-01-01 05:30:00,2025-02-21 05:30:00,"51 days, 0:00:00",In Progress,,Gaurav Prashant Saxena,Reeti Sharma,2025-01-22 19:12:40,1
